CityId,DistrictId,CityName,DistrictName,WheatYield,BarleyYield,OatYield,CottonYield,SoybeanYield,TomatoYield,CanolaYield,PotatoYield,SugarbeetYield,OnionYield,BeanYield,LentilYield,ChickpeaYield,PeanutYield,RiceYield,CornYield,SunflowerYield
55,931,SAMSUN,ASARCIK,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,932,G?RESUN,GÖRELE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
22,933,ED?RNE,ENEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,934,?STANBUL,MALTEPE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,935,KOCAEL?,DER?NCE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
81,936,DÜZCE,YI?ILCA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,937,ORDU,?K?ZCE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,938,?STANBUL,SULTANBEYL?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,939,R?ZE,?Y?DERE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,940,R?ZE,GÜNEYSU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,941,KOCAEL?,KÖRFEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,942,TRABZON,BE??KDÜZÜ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,943,TRABZON,VAKFIKEB?R,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,944,G?RESUN,EYNES?L,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,945,?STANBUL,ATA?EH?R,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,946,R?ZE,DEREPAZARI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,947,SAKARYA,KOCAAL?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,948,?STANBUL,KADIKÖY,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,949,?STANBUL,BAKIRKÖY,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,950,SAKARYA,FER?ZL?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,951,ORDU,PER?EMBE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,952,KOCAEL?,GEBZE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,953,ORDU,ÜNYE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
81,954,DÜZCE,AKÇAKOCA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
25,955,ERZURUM,OLUR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,956,TRABZON,AKÇAABAT,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
78,957,KARABÜK,OVACIK,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,958,?STANBUL,ZEYT?NBURNU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,959,?STANBUL,BEYL?KDÜZÜ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,960,?STANBUL,BAHÇEL?EVLER,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,961,?STANBUL,SANCAKTEPE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,962,TRABZON,ÇAR?IBA?I,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,963,?STANBUL,PEND?K,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,964,?STANBUL,FAT?H,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,965,?STANBUL,GÜNGÖREN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,966,SAMSUN,SALIPAZARI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
37,967,KASTAMONU,TOSYA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,968,R?ZE,MERKEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,969,?STANBUL,ÜMRAN?YE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,970,?STANBUL,BEYO?LU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,971,R?ZE,HEM??N,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,972,?STANBUL,KÜÇÜKÇEKMECE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,973,?STANBUL,ÜSKÜDAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,974,?STANBUL,BA?CILAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
36,975,KARS,SUSUZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,976,?STANBUL,BAYRAMPA?A,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,977,?STANBUL,???L?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,978,SAKARYA,KARASU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,979,?STANBUL,GAZ? OSMANPA?A,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,980,?STANBUL,BE??KTA?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,981,R?ZE,ÇAMLIHEM??N,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
67,982,ZONGULDAK,ALAPLI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
19,983,ÇORUM,OSMANCIK,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,984,?STANBUL,ESENYURT,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,985,?STANBUL,KA?ITHANE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,986,?STANBUL,ESENLER,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,987,?STANBUL,ÇEKMEKÖY,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
75,988,ARDAHAN,GÖLE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,989,?STANBUL,AVCILAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
54,990,SAKARYA,KAYNARCA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,991,SAMSUN,TEKKEKÖY,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
8,992,ARTV?N,YUSUFEL?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,993,R?ZE,ÇAYEL?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
36,994,KARS,AKYAKA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,995,SAMSUN,HAVZA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,996,SAMSUN,CAN?K,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,997,SAMSUN,KAVAK,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,998,?STANBUL,BÜYÜKÇEKMECE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
59,999,TEK?RDA?,MARMARA ERE?L?S?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,1000,KOCAEL?,KANDIRA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,1001,?STANBUL,BA?AK?EH?R,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,1002,?STANBUL,SULTANGAZ?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
37,1003,KASTAMONU,?HSANGAZ?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
19,1004,ÇORUM,KARGI,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,1005,R?ZE,PAZAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,1006,SAMSUN,MERKEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
22,1007,ED?RNE,KE?AN,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
34,1008,?STANBUL,??LE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,1009,SAMSUN,VEZ?RKÖPRÜ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
78,1010,KARABÜK,YEN?CE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
55,1011,SAMSUN,TERME,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
