CityId,CityName,WheatAreaDefault,WheatProfitDefault,WheatYieldDefault,BarleyAreaDefault,BarleyProfitDefault,BarleyYieldDefault,OatAreaDefault,OatProfitDefault,OatYieldDefault,CottonAreaDefault,CottonProfitDefault,CottonYieldDefault,SoybeanAreaDefault,SoybeanProfitDefault,SoybeanYieldDefault,TomatoAreaDefault,TomatoProfitDefault,TomatoYieldDefault,CanolaAreaDefault,CanolaProfitDefault,CanolaYieldDefault,PotatoAreaDefault,PotatoProfitDefault,PotatoYieldDefault,SugarbeetAreaDefault,SugarbeetProfitDefault,SugarbeetYieldDefault,OnionAreaDefault,OnionProfitDefault,OnionYieldDefault,BeanAreaDefault,BeanProfitDefault,BeanYieldDefault,LentilAreaDefault,LentilProfitDefault,LentilYieldDefault,ChickpeaAreaDefault,ChickpeaProfitDefault,ChickpeaYieldDefault,PeanutAreaDefault,PeanutProfitDefault,PeanutYieldDefault,RiceAreaDefault,RiceProfitDefault,RiceYieldDefault,CornAreaDefault,CornProfitDefault,CornYieldDefault,SunflowerAreaDefault,SunflowerProfitDefault,SunflowerYieldDefault
59,TEKİRDAĞ,1720330,-337150273,502336360,120040,-41197728,31810600,5550,-991785,1542900,0,0,0,0,0,0,220,-50434,1593680,104880,32019864,36393360,280,452116,983920,4670,1456433,31970820,4910,29183076,16345390,450,387170,121950,0,0,0,640,3968,78720,0,0,0,22990,19485175,17978180,660,-48742,621060,1248410,1092758243,364535720
60,TOKAT,791380,-155094653,231082960,228950,-78575640,60671750,11700,-2090790,3252600,0,0,0,0,0,0,5530,-1267752,40059320,0,0,0,12190,19683193,42835660,111440,34754793,762918240,36670,217951812,122074430,8000,6883041,2168000,0,0,0,51540,319548,6339420,0,0,0,1070,906879,836740,42550,-3142318,40039550,112650,98604799,32893800
61,TRABZON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,TUNCELİ,88010,-17248200,25698920,82960,-28471872,21984400,0,0,0,0,0,0,0,0,0,3400,-779450,24629600,0,0,0,0,0,0,1420,442855,9721320,10,59436,33290,39300,33812934,10650300,2640,385308,414480,8100,50220,996300,0,0,0,0,0,0,0,0,0,0,0,0
63,ŞANLIURFA,1782990,-349430379,520633080,990550,-339956760,262495750,0,0,0,1387990,4045935330,685667060,6000,-1827240,2652000,16790,-3849107,121626760,0,0,0,5090,8218823,17886260,31650,9870685,216675900,186180,1106579448,619793220,0,0,0,886090,129324838,139116130,52460,325252,6452580,390,624858,153660,4870,4127569,3808340,1397460,-103202423,1315009860,41670,36474584,12167640
64,UŞAK,99570,-19513729,29074440,521910,-179119512,138306150,27260,-4871362,7578280,0,0,0,0,0,0,3000,-687750,21732000,430,131279,149210,1010,1630847,3549140,7290,2273532,49907340,2690,15988284,8955010,4160,3579180,1127360,0,0,0,119240,739288,14666520,0,0,0,0,0,0,2990,-220812,2813590,3020,2643467,881840
65,VAN,1608180,-315171116,469588560,1124620,-385969584,298024300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8460,13660362,29728440,51100,15936557,349830600,0,0,0,13460,11580715,3647660,0,0,0,5520,34224,678960,0,0,0,0,0,0,360,-26586,338760,0,0,0
66,YOZGAT,1791410,-351080531,523091720,1171790,-402158328,310524350,4920,-879204,1367760,0,0,0,80,-24363,35360,190,-43559,1376360,0,0,0,29010,46842447,101941140,474380,147944890,3247605480,7610,45230796,25333690,13080,11253770,3544680,22460,3278038,3526220,896290,5556998,110243670,0,0,0,0,0,0,4350,-321249,4093350,18130,15869551,5293960
67,ZONGULDAK,34630,-6786789,10111960,900,-308880,238500,1550,-276985,430900,0,0,0,0,0,0,0,0,0,0,0,0,220,355234,773080,0,0,0,0,0,0,1390,1195928,376690,0,0,0,20,124,2460,0,0,0,0,0,0,10010,-739241,9419410,160,140051,46720
68,AKSARAY,876700,-171815665,255996400,1269880,-435822816,336518200,4060,-725522,1128680,0,0,0,0,0,0,4990,-1143957,36147560,1190,363307,412930,70680,114126996,248369520,238320,74324858,1631538720,2000,11887200,6658000,24170,20795385,6550070,0,0,0,111090,688758,13664070,0,0,0,0,0,0,125180,-9244543,117794380,71600,62672913,20907200
69,BAYBURT,285260,-55905255,83295920,244210,-83812872,64715650,3260,-582562,906280,0,0,0,0,0,0,0,0,0,0,0,0,10820,17471054,38021480,19560,6100177,133907760,0,0,0,4450,3828691,1205950,0,0,0,4150,25730,510450,0,0,0,0,0,0,0,0,0,0,0,0
70,KARAMAN,287850,-56412843,84052200,261520,-89753664,69302800,50840,-9085108,14133520,0,0,0,0,0,0,12960,-2971080,93882240,0,0,0,18670,30146449,65606380,79980,24943363,547543080,7800,46360080,25966200,101390,87233928,27476690,880,128437,138160,185870,1152394,22862010,0,0,0,0,0,0,333120,-24600913,313465920,77100,67487173,22513200
71,KIRIKKALE,953440,-186855170,278404480,382030,-131112696,101237950,0,0,0,0,0,0,0,0,0,440,-100871,3187360,0,0,0,110,177617,386540,10610,3308941,72636060,790,4695444,2629910,3540,3045746,959340,450,65678,70650,308010,1909662,37885230,0,0,0,3620,3068131,2830840,16420,-1212620,15451220,6700,5864644,1956400
72,BATMAN,140120,-27460717,40915040,48330,-16586856,12807450,0,0,0,2030,5917369,1002820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51430,7506209,8074510,970,6014,119310,0,0,0,0,0,0,21720,-1604024,20438520,0,0,0
73,ŞIRNAK,337540,-66151088,98561680,263900,-90570480,69933500,0,0,0,40290,117443739,19903260,0,0,0,2490,-570833,18037560,0,0,0,0,0,0,0,0,0,5490,32630364,18276210,19630,16889259,5319730,94170,13744113,14784690,5460,33852,671580,97540,156278588,38430760,0,0,0,28840,-2129836,27138440,0,0,0
74,BARTIN,42290,-8287994,12348680,2870,-984984,760550,510,-91137,141780,0,0,0,0,0,0,0,0,0,0,0,0,620,1001114,2178680,0,0,0,210,1248156,699090,800,688304,216800,0,0,0,10,62,1230,0,0,0,0,0,0,8790,-649143,8271390,1090,954099,318280
75,ARDAHAN,283470,-55554451,82773240,390130,-133892616,103384450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,3859133,8398460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,-86405,1100970,0,0,0
76,IĞDIR,630820,-123628104,184199440,237960,-81667872,63059400,0,0,0,24140,70367134,11925160,0,0,0,0,0,0,0,0,0,2370,3826839,8328180,6100,1902407,41760600,0,0,0,1450,1247551,392950,0,0,0,1170,7254,143910,0,0,0,16240,13764212,12699680,106850,-7890874,100545850,0,0,0
77,YALOVA,27520,-5393370,8035840,20260,-6953232,5368900,11640,-2080068,3235920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-2216,28230,2040,1785653,595680
78,KARABÜK,59000,-11562819,17228000,17020,-5841264,4510300,1110,-198357,308580,0,0,0,0,0,0,0,0,0,0,0,0,70,113029,245980,0,0,0,40,237744,133160,380,326944,102980,0,0,0,240,1488,29520,0,0,0,110,93231,86020,580,-42835,545780,0,0,0
79,KİLİS,213900,-41920122,62458800,104130,-35737416,27594450,0,0,0,9970,29062151,4925180,0,0,0,2650,-607513,19196600,0,0,0,0,0,0,0,0,0,7340,43626024,24434860,0,0,0,48720,7110685,7649040,26750,165850,3290250,0,0,0,0,0,0,15460,-1141721,14547860,0,0,0
80,OSMANİYE,370040,-72520438,108051680,30630,-10512216,8116950,830,-148321,230740,1780,5188629,879320,17640,-5372086,7796880,20,-4585,144880,0,0,0,0,0,0,0,0,0,7640,45409104,25433560,30,25811,8130,0,0,0,790,4898,97170,115720,185406584,45593680,0,0,0,221920,-16388792,208826720,35430,31012588,10345560
81,DÜZCE,14150,-2773118,4131800,2930,-1005576,776450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,613586,1335320,560,174647,3833760,0,0,0,70,60227,18970,0,0,0,0,0,0,0,0,0,1570,1330654,1227740,52420,-3871220,49327220,0,0,0
